date,parameter,units,value_min,value_mean,value_max,value_std
01/01/18,OZONE,PPB,23.0,28.770833333333332,34.0,2.8040540826178098
01/01/18,PM10,UG/M3,-1.0,7.958333333333333,16.0,3.9834349025920335
01/01/18,PM2.5,UG/M3,-3.5,6.870329670329668,14.7,3.6837404274902252
01/01/19,OZONE,PPB,0.0,18.458333333333332,49.0,9.410986487434073
01/01/19,PM10,UG/M3,2.0,9.041666666666666,28.0,5.645153108923478
01/01/19,PM2.5,UG/M3,0.2,6.796666666666668,19.4,3.657338273840652
01/02/18,OZONE,PPB,6.0,18.41304347826087,28.0,4.49212295662413
01/02/18,PM10,UG/M3,6.0,13.5,22.0,4.916697371557279
01/02/18,PM2.5,UG/M3,-0.8,9.602083333333335,19.8,3.580180438480272
01/02/19,OZONE,PPB,4.0,16.24468085106383,25.0,5.772918179365692
01/02/19,PM10,UG/M3,9.0,11.583333333333334,20.0,3.1611316997538093
01/02/19,PM2.5,UG/M3,-4.2,8.171428571428569,13.9,3.2021746545371017
01/03/18,OZONE,PPB,0.0,8.24468085106383,20.0,4.816383710584775
01/03/18,PM10,UG/M3,11.0,26.5,67.0,19.11058046513202
01/03/18,PM2.5,UG/M3,0.2,13.322105263157894,30.4,4.615070297546388
01/03/19,OZONE,PPB,0.0,15.184782608695652,37.0,8.238117447153858
01/03/19,PM10,UG/M3,8.0,13.166666666666666,20.0,3.8748539009391294
01/03/19,PM2.5,UG/M3,-1.6,7.479831932773106,17.3,3.3505774820229806
01/04/18,OZONE,PPB,0.0,16.041666666666668,30.0,10.617678075704607
01/04/18,PM10,UG/M3,2.0,18.541666666666668,46.0,11.154952757160952
01/04/18,PM2.5,UG/M3,-4.4,8.6609375,17.5,3.565980205118704
01/04/19,OZONE,PPB,0.0,5.67741935483871,15.0,4.245614848499005
01/04/19,PM10,UG/M3,10.0,19.25,31.0,7.985040360900964
01/04/19,PM2.5,UG/M3,2.8,12.269827586206898,45.0,5.26567589001741
01/05/18,OZONE,PPB,18.0,25.635416666666668,36.0,4.604619629222871
01/05/18,PM10,UG/M3,4.0,7.833333333333333,12.0,2.407717061715384
01/05/18,PM2.5,UG/M3,-1.6,8.714583333333335,16.1,3.364037687615854
01/05/19,OZONE,PPB,0.0,11.520833333333334,30.0,8.755123813085463
01/05/19,PM10,UG/M3,4.0,13.625,28.0,8.376013890607643
01/05/19,PM2.5,UG/M3,-0.3,9.016666666666667,20.2,4.090537005968638
01/06/18,OZONE,PPB,19.0,26.57608695652174,34.0,3.7010057903882485
01/06/18,PM10,UG/M3,3.0,7.916666666666667,12.0,2.0412414523193148
01/06/18,PM2.5,UG/M3,-4.9,7.165425531914894,18.4,4.008497168587572
01/06/19,OZONE,PPB,3.0,19.96875,41.0,9.12077227224237
01/06/19,PM10,UG/M3,4.0,14.583333333333334,24.0,7.756717518813397
01/06/19,PM2.5,UG/M3,-1.1,10.445833333333335,21.1,4.281558968282412
01/07/18,OZONE,PPB,5.0,23.260416666666668,30.0,6.003936939369853
01/07/18,PM10,UG/M3,1.0,11.25,26.0,7.908443479020985
01/07/18,PM2.5,UG/M3,-4.9,8.514062500000003,21.7,3.7965208868437488
01/07/19,OZONE,PPB,6.0,25.054347826086957,33.0,5.736645515263901
01/07/19,PM10,UG/M3,3.0,6.75,12.0,2.8930200858948947
01/07/19,PM2.5,UG/M3,-2.0,5.475630252100841,13.0,2.967135421225431
01/08/18,OZONE,PPB,0.0,6.967391304347826,22.0,4.827692750760734
01/08/18,PM10,UG/M3,15.0,25.625,37.0,7.02054438617554
01/08/18,PM2.5,UG/M3,0.1,11.772395833333341,75.6,6.079191053375279
01/08/19,OZONE,PPB,0.0,11.760416666666666,27.0,9.058575223936671
01/08/19,PM10,UG/M3,8.0,30.208333333333332,84.0,25.320517830178865
01/08/19,PM2.5,UG/M3,-0.4,8.4793893129771,31.3,5.960701011397027
01/09/18,OZONE,PPB,0.0,10.260416666666666,33.0,11.428721705622262
01/09/18,PM10,UG/M3,11.0,23.166666666666668,32.0,6.176157991521255
01/09/18,PM2.5,UG/M3,-3.7,15.877604166666659,45.1,5.8897967048697515
01/09/19,OZONE,PPB,0.0,14.13978494623656,39.0,10.304696478716226
01/09/19,PM10,UG/M3,5.0,13.208333333333334,45.0,9.0792604883048
01/09/19,PM2.5,UG/M3,-0.4,7.457792207792212,29.7,4.748426398685119
01/10/18,OZONE,PPB,0.0,9.666666666666666,25.0,7.10917371268933
01/10/18,PM10,UG/M3,6.0,14.458333333333334,25.0,5.30773976842077
01/10/18,PM2.5,UG/M3,-4.6,10.60104166666666,21.3,4.00181882186982
01/10/19,OZONE,PPB,8.0,21.197916666666668,30.0,6.30057606667278
01/10/19,PM10,UG/M3,4.0,6.625,9.0,1.5551457362156014
01/10/19,PM2.5,UG/M3,-1.7,6.100602409638555,27.3,4.335442335098445
01/11/18,OZONE,PPB,0.0,1.6458333333333333,15.0,2.4665303423685185
01/11/18,PM10,UG/M3,11.0,32.5,90.0,20.15830208269394
01/11/18,PM2.5,UG/M3,-4.9,15.397969543147207,43.6,7.735433706762713
01/11/19,OZONE,PPB,20.0,28.804347826086957,37.0,4.3151639863782565
01/11/19,PM10,UG/M3,7.0,8.583333333333334,10.0,1.2481870911416904
01/11/19,PM2.5,UG/M3,-0.4,7.634131736526945,19.3,3.1251365744631014
01/12/18,OZONE,PPB,0.0,9.804347826086957,30.0,9.550604526559693
01/12/18,PM10,UG/M3,9.0,19.541666666666668,37.0,8.717693984408786
01/12/18,PM2.5,UG/M3,-2.7,7.624607329842928,39.7,4.899706943733707
01/12/19,OZONE,PPB,13.0,24.03125,31.0,4.0612498076331125
01/12/19,PM10,UG/M3,5.0,7.75,12.0,1.7997584378973217
01/12/19,PM2.5,UG/M3,0.0,7.3148809523809515,14.2,2.47264410055678
01/13/18,OZONE,PPB,0.0,20.166666666666668,31.0,9.531848737305749
01/13/18,PM10,UG/M3,-1.0,5.608695652173913,21.0,5.483356059557807
01/13/18,PM2.5,UG/M3,-4.8,5.8168604651162825,24.8,5.041210928887915
01/13/19,OZONE,PPB,15.0,25.25,36.0,4.924696090008738
01/13/19,PM10,UG/M3,8.0,12.416666666666666,17.0,2.5861952356891873
01/13/19,PM2.5,UG/M3,-1.8,7.168452380952378,18.1,2.8261638984588955
01/14/18,OZONE,PPB,20.0,27.291666666666668,34.0,3.0224307633588956
01/14/18,PM10,UG/M3,3.0,6.166666666666667,10.0,1.9927404479142845
01/14/18,PM2.5,UG/M3,0.2,6.814880952380951,15.7,2.8869029025889197
01/14/19,OZONE,PPB,10.0,22.440860215053764,36.0,5.722690089519314
01/14/19,PM10,UG/M3,11.0,13.666666666666666,19.0,2.1602468994692865
01/14/19,PM2.5,UG/M3,2.1,8.294642857142861,13.5,2.2847911349547556
01/15/18,OZONE,PPB,8.0,21.895833333333332,32.0,5.252526543266517
01/15/18,PM10,UG/M3,7.0,10.375,15.0,2.0812308231261705
01/15/18,PM2.5,UG/M3,0.0,7.7452380952381,18.6,2.973491858940725
01/15/19,OZONE,PPB,0.0,11.09375,27.0,7.421275425920293
01/15/19,PM10,UG/M3,13.0,19.291666666666668,27.0,3.7239432894699673
01/15/19,PM2.5,UG/M3,5.1,11.724999999999998,29.7,2.95231057386429
01/16/18,OZONE,PPB,0.0,6.840425531914893,21.0,5.440396869397066
01/16/18,PM10,UG/M3,11.0,20.958333333333332,43.0,9.611945315784064
01/16/18,PM2.5,UG/M3,-3.6,11.757309941520461,31.4,4.249261778496908
01/16/19,OZONE,PPB,0.0,6.053763440860215,21.0,7.178418124456004
01/16/19,PM10,UG/M3,10.0,29.541666666666668,49.0,10.778316262258931
01/16/19,PM2.5,UG/M3,0.3,15.21049382716049,39.6,5.40606523911124
01/17/18,OZONE,PPB,0.0,4.362637362637362,14.0,4.334657447740846
01/17/18,PM10,UG/M3,8.0,15.666666666666666,20.0,2.8539319431675105
01/17/18,PM2.5,UG/M3,3.2,13.25497382198953,29.0,3.4683476840140806
01/17/19,OZONE,PPB,7.0,21.52173913043478,33.0,7.335714623000295
01/17/19,PM10,UG/M3,8.0,12.625,20.0,3.669053900086387
01/17/19,PM2.5,UG/M3,-3.6,6.410975609756098,19.7,3.103530785544873
01/18/18,OZONE,PPB,2.0,18.053763440860216,30.0,6.42746415510586
01/18/18,PM10,UG/M3,12.0,27.916666666666668,45.0,9.815323719070346
01/18/18,PM2.5,UG/M3,5.4,12.293229166666661,43.2,4.224982541502804
01/18/19,OZONE,PPB,0.0,9.208333333333334,26.0,6.331070694625899
01/18/19,PM10,UG/M3,10.0,20.458333333333332,39.0,8.371687101626305
01/18/19,PM2.5,UG/M3,-1.1,10.342857142857143,22.8,5.093127592558465
01/19/18,OZONE,PPB,0.0,11.260416666666666,22.0,7.311483097684032
01/19/18,PM10,UG/M3,19.0,31.291666666666668,44.0,8.888092506595392
01/19/18,PM2.5,UG/M3,6.1,14.997395833333341,23.3,2.7792694602265535
01/19/19,OZONE,PPB,0.0,13.145833333333334,28.0,7.7960572581228424
01/19/19,PM10,UG/M3,15.0,21.875,30.0,4.26627319290757
01/19/19,PM2.5,UG/M3,4.2,10.208333333333329,22.1,3.513471365747008
01/20/18,OZONE,PPB,0.0,15.15625,37.0,12.222781253828746
01/20/18,PM10,UG/M3,12.0,20.875,34.0,5.674600158295011
01/20/18,PM2.5,UG/M3,3.3,11.155729166666669,19.8,3.4107112598390703
01/20/19,OZONE,PPB,3.0,21.916666666666668,31.0,5.884263879493235
01/20/19,PM10,UG/M3,6.0,11.583333333333334,23.0,4.717374607597515
01/20/19,PM2.5,UG/M3,-3.2,5.7786585365853655,19.5,4.245846259507584
01/21/18,OZONE,PPB,0.0,17.010416666666668,39.0,12.059933482985508
01/21/18,PM10,UG/M3,17.0,23.166666666666668,42.0,5.753385896614473
01/21/18,PM2.5,UG/M3,4.5,14.678645833333333,21.2,2.5892068040056713
01/21/19,OZONE,PPB,27.0,31.09375,35.0,1.6863421954040037
