,DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
0,2018-11-09 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,20,1,Good
1,2018-11-09 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,24,1,Good
2,2018-01-19 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,28,1,Good
3,2018-01-19 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,64,2,Moderate
4,2018-01-19 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,30,1,Good
5,2019-09-23 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,80,2,Moderate
6,2019-09-23 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,48,1,Good
7,2019-09-23 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,28,1,Good
8,2019-08-31 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,46,1,Good
9,2019-08-31 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,21,1,Good
10,2019-08-31 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,12,1,Good
11,2019-10-03 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,19,1,Good
12,2019-10-03 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,7,1,Good
13,2019-10-03 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,7,1,Good
14,2018-05-22 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,31,1,Good
15,2018-05-22 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,34,1,Good
16,2018-06-13 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,38,1,Good
17,2018-06-13 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,39,1,Good
18,2018-03-01 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,40,1,Good
19,2018-03-01 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,52,2,Moderate
20,2018-10-30 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,32,1,Good
21,2018-10-30 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,44,1,Good
22,2019-09-22 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,97,2,Moderate
23,2019-09-22 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,53,2,Moderate
24,2019-09-22 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,26,1,Good
25,2018-01-23 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,31,1,Good
26,2018-01-23 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,39,1,Good
27,2018-01-23 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,11,1,Good
28,2019-10-12 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,28,1,Good
29,2019-10-12 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,22,1,Good
30,2019-10-12 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,11,1,Good
31,2018-04-21 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,48,1,Good
32,2018-04-21 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,17,1,Good
33,2019-10-06 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,32,1,Good
34,2019-10-06 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,20,1,Good
35,2019-10-06 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,17,1,Good
36,2018-10-29 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,29,1,Good
37,2018-10-29 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,26,1,Good
38,2019-06-28 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,136,3,Unhealthy for Sensitive Groups
39,2019-06-28 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,38,1,Good
40,2019-06-28 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,18,1,Good
41,2018-03-17 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,45,1,Good
42,2018-03-17 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,25,1,Good
43,2018-07-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,23,1,Good
44,2018-07-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,26,1,Good
45,2018-04-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,50,1,Good
46,2018-04-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,27,1,Good
47,2018-09-16 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,31,1,Good
48,2018-04-18 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,37,1,Good
49,2018-04-18 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,17,1,Good
50,2018-03-05 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,35,1,Good
