,date,time,aqsid,site,gmtoffset,parameter,units,value,source
12285,10/08/19,10:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,20.0,New York Dept. of Environmental Conservation
12286,10/08/19,10:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,8.0,New York Dept. of Environmental Conservation
12287,10/08/19,10:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,4.0,New York Dept. of Environmental Conservation
12288,10/08/19,10:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,20.0,New York Dept. of Environmental Conservation
12309,10/08/19,10:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,5.3,New York Dept. of Environmental Conservation
12310,10/08/19,10:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,3.9,New York Dept. of Environmental Conservation
12314,10/08/19,10:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,2.8,New York Dept. of Environmental Conservation
12315,10/08/19,10:00,360610134,Division Street,-5.0,PM2.5,UG/M3,3.6,New York Dept. of Environmental Conservation
12316,10/08/19,10:00,360610135,CCNY,-5.0,OZONE,PPB,21.0,New York Dept. of Environmental Conservation
12317,10/08/19,10:00,360610135,CCNY,-5.0,PM2.5,UG/M3,2.0,New York Dept. of Environmental Conservation
12326,10/08/19,10:00,360810124,Queens,-5.0,OZONE,PPB,22.0,New York Dept. of Environmental Conservation
12327,10/08/19,10:00,360810124,Queens,-5.0,PM2.5,UG/M3,-0.6,New York Dept. of Environmental Conservation
12328,10/08/19,10:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,4.9,New York Dept. of Environmental Conservation
12329,10/08/19,10:00,360850111,Fresh Kills,-5.0,OZONE,PPB,6.0,New York Dept. of Environmental Conservation
12330,10/08/19,10:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,2.5,New York Dept. of Environmental Conservation
27317,12/05/19,18:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,27.0,New York Dept. of Environmental Conservation
27318,12/05/19,18:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,13.0,New York Dept. of Environmental Conservation
27319,12/05/19,18:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,4.3,New York Dept. of Environmental Conservation
27320,12/05/19,18:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,30.0,New York Dept. of Environmental Conservation
27341,12/05/19,18:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,4.8,New York Dept. of Environmental Conservation
27342,12/05/19,18:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,6.1,New York Dept. of Environmental Conservation
27346,12/05/19,18:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,-0.9,New York Dept. of Environmental Conservation
27347,12/05/19,18:00,360610134,Division Street,-5.0,PM2.5,UG/M3,7.4,New York Dept. of Environmental Conservation
27348,12/05/19,18:00,360610135,CCNY,-5.0,OZONE,PPB,31.0,New York Dept. of Environmental Conservation
27349,12/05/19,18:00,360610135,CCNY,-5.0,PM2.5,UG/M3,5.1,New York Dept. of Environmental Conservation
27356,12/05/19,18:00,360810124,Queens,-5.0,OZONE,PPB,31.0,New York Dept. of Environmental Conservation
27357,12/05/19,18:00,360810124,Queens,-5.0,PM2.5,UG/M3,-1.2,New York Dept. of Environmental Conservation
27358,12/05/19,18:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,5.8,New York Dept. of Environmental Conservation
27359,12/05/19,18:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,4.3,New York Dept. of Environmental Conservation
42354,10/08/19,04:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,33.0,New York Dept. of Environmental Conservation
42355,10/08/19,04:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,4.0,New York Dept. of Environmental Conservation
42356,10/08/19,04:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,1.1,New York Dept. of Environmental Conservation
42357,10/08/19,04:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,31.0,New York Dept. of Environmental Conservation
42378,10/08/19,04:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,3.3,New York Dept. of Environmental Conservation
42379,10/08/19,04:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,1.1,New York Dept. of Environmental Conservation
42383,10/08/19,04:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,-0.2,New York Dept. of Environmental Conservation
42384,10/08/19,04:00,360610134,Division Street,-5.0,PM2.5,UG/M3,0.4,New York Dept. of Environmental Conservation
42385,10/08/19,04:00,360610135,CCNY,-5.0,OZONE,PPB,32.0,New York Dept. of Environmental Conservation
42394,10/08/19,04:00,360810124,Queens,-5.0,OZONE,PPB,39.0,New York Dept. of Environmental Conservation
42395,10/08/19,04:00,360810124,Queens,-5.0,PM2.5,UG/M3,0.6,New York Dept. of Environmental Conservation
42396,10/08/19,04:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,1.3,New York Dept. of Environmental Conservation
42397,10/08/19,04:00,360850111,Fresh Kills,-5.0,OZONE,PPB,27.0,New York Dept. of Environmental Conservation
57130,11/19/19,09:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,5.0,New York Dept. of Environmental Conservation
57131,11/19/19,09:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,4.0,New York Dept. of Environmental Conservation
57132,11/19/19,09:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,4.6,New York Dept. of Environmental Conservation
57133,11/19/19,09:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,11.0,New York Dept. of Environmental Conservation
57154,11/19/19,09:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,6.6,New York Dept. of Environmental Conservation
57155,11/19/19,09:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,5.2,New York Dept. of Environmental Conservation
57159,11/19/19,09:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,4.1,New York Dept. of Environmental Conservation
57160,11/19/19,09:00,360610135,CCNY,-5.0,OZONE,PPB,8.0,New York Dept. of Environmental Conservation
57161,11/19/19,09:00,360610135,CCNY,-5.0,PM2.5,UG/M3,4.0,New York Dept. of Environmental Conservation
57170,11/19/19,09:00,360810124,Queens,-5.0,OZONE,PPB,1.0,New York Dept. of Environmental Conservation
57171,11/19/19,09:00,360810124,Queens,-5.0,PM2.5,UG/M3,1.3,New York Dept. of Environmental Conservation
57172,11/19/19,09:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,5.0,New York Dept. of Environmental Conservation
57173,11/19/19,09:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,3.8,New York Dept. of Environmental Conservation
71680,11/19/19,21:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,16.0,New York Dept. of Environmental Conservation
71681,11/19/19,21:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,14.0,New York Dept. of Environmental Conservation
71682,11/19/19,21:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,7.7,New York Dept. of Environmental Conservation
71683,11/19/19,21:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,18.0,New York Dept. of Environmental Conservation
71704,11/19/19,21:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,4.8,New York Dept. of Environmental Conservation
71705,11/19/19,21:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,8.9,New York Dept. of Environmental Conservation
71707,11/19/19,21:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,9.3,New York Dept. of Environmental Conservation
71708,11/19/19,21:00,360610135,CCNY,-5.0,OZONE,PPB,16.0,New York Dept. of Environmental Conservation
71709,11/19/19,21:00,360610135,CCNY,-5.0,PM2.5,UG/M3,6.3,New York Dept. of Environmental Conservation
71718,11/19/19,21:00,360810124,Queens,-5.0,PM2.5,UG/M3,7.1,New York Dept. of Environmental Conservation
71719,11/19/19,21:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,8.2,New York Dept. of Environmental Conservation
71720,11/19/19,21:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,5.7,New York Dept. of Environmental Conservation
86627,11/04/19,18:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,13.0,New York Dept. of Environmental Conservation
86628,11/04/19,18:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,4.7,New York Dept. of Environmental Conservation
86629,11/04/19,18:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,31.0,New York Dept. of Environmental Conservation
86650,11/04/19,18:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,3.3,New York Dept. of Environmental Conservation
86651,11/04/19,18:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,3.9,New York Dept. of Environmental Conservation
86655,11/04/19,18:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,4.6,New York Dept. of Environmental Conservation
86656,11/04/19,18:00,360610135,CCNY,-5.0,OZONE,PPB,29.0,New York Dept. of Environmental Conservation
86657,11/04/19,18:00,360610135,CCNY,-5.0,PM2.5,UG/M3,5.1,New York Dept. of Environmental Conservation
86665,11/04/19,18:00,360810124,Queens,-5.0,OZONE,PPB,34.0,New York Dept. of Environmental Conservation
86666,11/04/19,18:00,360810124,Queens,-5.0,PM2.5,UG/M3,3.7,New York Dept. of Environmental Conservation
86667,11/04/19,18:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,2.6,New York Dept. of Environmental Conservation
86668,11/04/19,18:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,2.9,New York Dept. of Environmental Conservation
101334,11/17/19,06:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,21.0,New York Dept. of Environmental Conservation
101335,11/17/19,06:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,10.0,New York Dept. of Environmental Conservation
101336,11/17/19,06:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,3.0,New York Dept. of Environmental Conservation
101337,11/17/19,06:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,24.0,New York Dept. of Environmental Conservation
101358,11/17/19,06:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,3.2,New York Dept. of Environmental Conservation
101359,11/17/19,06:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,3.1,New York Dept. of Environmental Conservation
101363,11/17/19,06:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,4.1,New York Dept. of Environmental Conservation
101364,11/17/19,06:00,360610134,Division Street,-5.0,PM2.5,UG/M3,2.2,New York Dept. of Environmental Conservation
101365,11/17/19,06:00,360610135,CCNY,-5.0,OZONE,PPB,22.0,New York Dept. of Environmental Conservation
101366,11/17/19,06:00,360610135,CCNY,-5.0,PM2.5,UG/M3,2.5,New York Dept. of Environmental Conservation
101375,11/17/19,06:00,360810124,Queens,-5.0,OZONE,PPB,30.0,New York Dept. of Environmental Conservation
101376,11/17/19,06:00,360810124,Queens,-5.0,PM2.5,UG/M3,1.7,New York Dept. of Environmental Conservation
101377,11/17/19,06:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,3.2,New York Dept. of Environmental Conservation
101378,11/17/19,06:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,2.1,New York Dept. of Environmental Conservation
115966,10/15/19,15:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,25.0,New York Dept. of Environmental Conservation
115967,10/15/19,15:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,12.0,New York Dept. of Environmental Conservation
115968,10/15/19,15:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,2.2,New York Dept. of Environmental Conservation
115969,10/15/19,15:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,26.0,New York Dept. of Environmental Conservation
115989,10/15/19,15:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,4.1,New York Dept. of Environmental Conservation
115990,10/15/19,15:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,1.8,New York Dept. of Environmental Conservation
115994,10/15/19,15:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,3.6,New York Dept. of Environmental Conservation
115995,10/15/19,15:00,360610134,Division Street,-5.0,PM2.5,UG/M3,2.9,New York Dept. of Environmental Conservation
115996,10/15/19,15:00,360610135,CCNY,-5.0,OZONE,PPB,24.0,New York Dept. of Environmental Conservation
115997,10/15/19,15:00,360610135,CCNY,-5.0,PM2.5,UG/M3,3.0,New York Dept. of Environmental Conservation
116006,10/15/19,15:00,360810124,Queens,-5.0,OZONE,PPB,29.0,New York Dept. of Environmental Conservation
116007,10/15/19,15:00,360810124,Queens,-5.0,PM2.5,UG/M3,3.4,New York Dept. of Environmental Conservation
116008,10/15/19,15:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,6.0,New York Dept. of Environmental Conservation
116009,10/15/19,15:00,360850111,Fresh Kills,-5.0,OZONE,PPB,24.0,New York Dept. of Environmental Conservation
116010,10/15/19,15:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,1.0,New York Dept. of Environmental Conservation
131214,10/20/19,08:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,0.0,New York Dept. of Environmental Conservation
131215,10/20/19,08:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,31.0,New York Dept. of Environmental Conservation
131216,10/20/19,08:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,18.8,New York Dept. of Environmental Conservation
131217,10/20/19,08:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,0.0,New York Dept. of Environmental Conservation
131234,10/20/19,08:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,8.2,New York Dept. of Environmental Conservation
131235,10/20/19,08:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,12.4,New York Dept. of Environmental Conservation
131239,10/20/19,08:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,13.8,New York Dept. of Environmental Conservation
131240,10/20/19,08:00,360610134,Division Street,-5.0,PM2.5,UG/M3,9.4,New York Dept. of Environmental Conservation
131241,10/20/19,08:00,360610135,CCNY,-5.0,OZONE,PPB,1.0,New York Dept. of Environmental Conservation
131242,10/20/19,08:00,360610135,CCNY,-5.0,PM2.5,UG/M3,8.8,New York Dept. of Environmental Conservation
131251,10/20/19,08:00,360810124,Queens,-5.0,OZONE,PPB,2.0,New York Dept. of Environmental Conservation
131252,10/20/19,08:00,360810124,Queens,-5.0,PM2.5,UG/M3,12.4,New York Dept. of Environmental Conservation
131253,10/20/19,08:00,360850111,Fresh Kills,-5.0,OZONE,PPB,3.0,New York Dept. of Environmental Conservation
131254,10/20/19,08:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,9.7,New York Dept. of Environmental Conservation
145976,11/17/19,12:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,20.0,New York Dept. of Environmental Conservation
145977,11/17/19,12:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,10.0,New York Dept. of Environmental Conservation
145978,11/17/19,12:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,3.8,New York Dept. of Environmental Conservation
145979,11/17/19,12:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,23.0,New York Dept. of Environmental Conservation
146000,11/17/19,12:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,-1.1,New York Dept. of Environmental Conservation
146001,11/17/19,12:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,4.5,New York Dept. of Environmental Conservation
146005,11/17/19,12:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,7.1,New York Dept. of Environmental Conservation
146006,11/17/19,12:00,360610134,Division Street,-5.0,PM2.5,UG/M3,2.7,New York Dept. of Environmental Conservation
146007,11/17/19,12:00,360610135,CCNY,-5.0,OZONE,PPB,17.0,New York Dept. of Environmental Conservation
146008,11/17/19,12:00,360610135,CCNY,-5.0,PM2.5,UG/M3,4.0,New York Dept. of Environmental Conservation
146017,11/17/19,12:00,360810124,Queens,-5.0,OZONE,PPB,30.0,New York Dept. of Environmental Conservation
146018,11/17/19,12:00,360810124,Queens,-5.0,PM2.5,UG/M3,1.2,New York Dept. of Environmental Conservation
146019,11/17/19,12:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,2.7,New York Dept. of Environmental Conservation
146020,11/17/19,12:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,3.0,New York Dept. of Environmental Conservation
160957,10/15/19,01:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,33.0,New York Dept. of Environmental Conservation
160958,10/15/19,01:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,18.0,New York Dept. of Environmental Conservation
160959,10/15/19,01:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,11.6,New York Dept. of Environmental Conservation
160960,10/15/19,01:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,24.0,New York Dept. of Environmental Conservation
160982,10/15/19,01:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,9.2,New York Dept. of Environmental Conservation
160983,10/15/19,01:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,10.6,New York Dept. of Environmental Conservation
160987,10/15/19,01:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,9.6,New York Dept. of Environmental Conservation
160988,10/15/19,01:00,360610134,Division Street,-5.0,PM2.5,UG/M3,10.8,New York Dept. of Environmental Conservation
160989,10/15/19,01:00,360610135,CCNY,-5.0,OZONE,PPB,33.0,New York Dept. of Environmental Conservation
160990,10/15/19,01:00,360610135,CCNY,-5.0,PM2.5,UG/M3,9.0,New York Dept. of Environmental Conservation
160999,10/15/19,01:00,360810124,Queens,-5.0,OZONE,PPB,36.0,New York Dept. of Environmental Conservation
161000,10/15/19,01:00,360810124,Queens,-5.0,PM2.5,UG/M3,8.3,New York Dept. of Environmental Conservation
161001,10/15/19,01:00,360850111,Fresh Kills,-5.0,OZONE,PPB,19.0,New York Dept. of Environmental Conservation
161002,10/15/19,01:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,10.7,New York Dept. of Environmental Conservation
176134,10/20/19,20:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,16.0,New York Dept. of Environmental Conservation
176135,10/20/19,20:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,14.0,New York Dept. of Environmental Conservation
176136,10/20/19,20:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,5.4,New York Dept. of Environmental Conservation
176137,10/20/19,20:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,15.0,New York Dept. of Environmental Conservation
176155,10/20/19,20:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,7.3,New York Dept. of Environmental Conservation
176156,10/20/19,20:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,8.2,New York Dept. of Environmental Conservation
176160,10/20/19,20:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,8.2,New York Dept. of Environmental Conservation
176161,10/20/19,20:00,360610134,Division Street,-5.0,PM2.5,UG/M3,7.5,New York Dept. of Environmental Conservation
176162,10/20/19,20:00,360610135,CCNY,-5.0,OZONE,PPB,12.0,New York Dept. of Environmental Conservation
176163,10/20/19,20:00,360610135,CCNY,-5.0,PM2.5,UG/M3,6.1,New York Dept. of Environmental Conservation
176172,10/20/19,20:00,360810124,Queens,-5.0,OZONE,PPB,25.0,New York Dept. of Environmental Conservation
176173,10/20/19,20:00,360810124,Queens,-5.0,PM2.5,UG/M3,6.7,New York Dept. of Environmental Conservation
176174,10/20/19,20:00,360850111,Fresh Kills,-5.0,OZONE,PPB,9.0,New York Dept. of Environmental Conservation
176175,10/20/19,20:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,8.3,New York Dept. of Environmental Conservation
191475,10/06/19,23:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,20.0,New York Dept. of Environmental Conservation
191476,10/06/19,23:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,20.0,New York Dept. of Environmental Conservation
191477,10/06/19,23:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,6.1,New York Dept. of Environmental Conservation
191478,10/06/19,23:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,18.0,New York Dept. of Environmental Conservation
191499,10/06/19,23:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,2.4,New York Dept. of Environmental Conservation
191500,10/06/19,23:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,5.7,New York Dept. of Environmental Conservation
191504,10/06/19,23:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,4.4,New York Dept. of Environmental Conservation
191505,10/06/19,23:00,360610134,Division Street,-5.0,PM2.5,UG/M3,8.1,New York Dept. of Environmental Conservation
191506,10/06/19,23:00,360610135,CCNY,-5.0,OZONE,PPB,26.0,New York Dept. of Environmental Conservation
191507,10/06/19,23:00,360610135,CCNY,-5.0,PM2.5,UG/M3,4.9,New York Dept. of Environmental Conservation
191516,10/06/19,23:00,360810124,Queens,-5.0,OZONE,PPB,23.0,New York Dept. of Environmental Conservation
191517,10/06/19,23:00,360810124,Queens,-5.0,PM2.5,UG/M3,5.3,New York Dept. of Environmental Conservation
