,DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
0,2018-07-18 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,31,1,Good
1,2018-07-18 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,22,1,Good
2,2018-09-29 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,17,1,Good
3,2019-07-26 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,80,2,Moderate
4,2019-07-26 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,41,1,Good
5,2019-07-26 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,19,1,Good
6,2019-01-26 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,34,1,Good
7,2019-01-26 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,43,1,Good
8,2019-01-26 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,14,1,Good
9,2018-01-19 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,28,1,Good
10,2018-01-19 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,64,2,Moderate
11,2018-01-19 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,30,1,Good
12,2019-09-16 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,33,1,Good
13,2019-09-16 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,38,1,Good
14,2019-09-16 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,14,1,Good
15,2019-10-21 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,37,1,Good
16,2019-10-21 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,33,1,Good
17,2019-10-21 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,15,1,Good
18,2019-07-09 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,90,2,Moderate
19,2019-07-09 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,46,1,Good
20,2019-07-09 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,18,1,Good
21,2018-09-19 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,32,1,Good
22,2019-08-27 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,42,1,Good
23,2019-08-27 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,17,1,Good
24,2019-08-27 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,15,1,Good
25,2018-11-03 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,28,1,Good
26,2018-11-03 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,22,1,Good
27,2018-05-25 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,108,3,Unhealthy for Sensitive Groups
28,2018-05-25 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,52,2,Moderate
29,2018-03-01 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,40,1,Good
30,2018-03-01 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,52,2,Moderate
31,2019-08-16 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,48,1,Good
32,2019-08-16 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,25,1,Good
33,2019-08-16 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,16,1,Good
34,2018-05-31 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,28,1,Good
35,2018-05-31 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,35,1,Good
36,2018-07-16 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,133,3,Unhealthy for Sensitive Groups
37,2018-07-16 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,62,2,Moderate
